[2026-01-29 08:10:23] 📡 [Sensor] Reading: 7cm | Status: Low
[2026-01-29 08:10:28] 📡 [Sensor] Reading: 33cm | Status: Medium
[2026-01-29 08:10:33] 📡 [Sensor] Reading: 96cm | Status: High
[2026-01-29 08:10:38] 📡 [Sensor] Reading: 13cm | Status: Low
[2026-01-29 08:10:43] 📡 [Sensor] Reading: 89cm | Status: High
[2026-01-29 08:10:48] 📡 [Sensor] Reading: 58cm | Status: Medium
[2026-01-29 08:10:53] 📡 [Sensor] Reading: 4cm | Status: Low
[2026-01-29 08:10:58] 📡 [Sensor] Reading: 2cm | Status: Low
[2026-01-29 08:11:03] 📡 [Sensor] Reading: 100cm | Status: High
[2026-01-29 08:11:08] 📡 [Sensor] Reading: 35cm | Status: Medium
[2026-01-29 08:11:13] 📡 [Sensor] Reading: 67cm | Status: Medium
[2026-01-29 08:11:18] 📡 [Sensor] Reading: 62cm | Status: Medium
[2026-01-29 08:11:23] 📡 [Sensor] Reading: 34cm | Status: Medium
[2026-01-29 08:11:28] 📡 [Sensor] Reading: 100cm | Status: High
[2026-01-29 08:11:33] 📡 [Sensor] Reading: 97cm | Status: High
[2026-01-29 08:11:38] 📡 [Sensor] Reading: 13cm | Status: Low
[2026-01-29 08:11:43] 📡 [Sensor] Reading: 27cm | Status: Low
[2026-01-29 08:11:48] 📡 [Sensor] Reading: 17cm | Status: Low
[2026-01-29 08:11:53] 📡 [Sensor] Reading: 15cm | Status: Low
